resource_id,fte_assigned,billable_hours,bench_time,overallocated
1,198.32,42,282.33,0
2,124.61,35,34.44,0
3,450.08,10,11.41,0
4,447.35,55,168.22,1
5,390.33,22,78.4,0
6,398.36,21,65.29,0
7,455.8,20,77.19,0
8,185.14,23,141.51,0
9,459.61,17,394.49,1
10,150.57,13,265.22,0
11,105.1,25,135.34,0
12,482.44,24,237.99,1
13,32.75,38,377.95,0
14,320.1,13,133.53,0
15,467.96,46,134.52,1
16,376.75,47,144.89,1
17,395.82,14,104.95,0
18,182.3,45,117.07,0
19,107.58,52,141.14,0
20,350.04,1,304.49,1
21,192.13,38,207.81,0
22,291.46,15,60.68,0
23,459.54,35,365.43,1
24,166.11,11,333.57,0
25,411.68,16,48.8,0
26,390.6,59,222.25,1
27,35.51,43,20.15,0
28,485.28,30,19.13,0
29,242.79,21,252.86,0
30,93.3,50,212.59,0
31,205.93,51,304.96,0
32,189.13,32,396.59,1
33,131.85,4,247.33,0
34,34.67,9,399.33,0
35,238.76,42,130.79,0
36,433.75,4,34.38,0
37,412.97,28,133.27,1
38,490.21,28,412.16,1
39,487.12,32,466.83,1
40,55.4,34,137.76,0
41,79.11,24,411.08,0
42,456.32,47,448.59,1
43,152.69,18,201.83,0
44,294.93,26,467.46,1
45,279.97,43,306.15,1
46,118.19,5,18.23,0
47,244.57,29,385.54,1
48,372.46,24,206.52,1
49,306.67,22,464.87,1
50,143.89,32,189.42,0
51,466.35,14,41.97,0
52,92.96,11,406.67,0
53,170.09,42,260.36,0
54,89.49,38,408.75,0
55,388.71,30,10.47,0
56,300.14,4,118.04,0
57,106.5,22,90.43,0
58,162.67,34,333.04,0
59,319.72,44,35.4,0
60,451.43,1,472.42,1
61,91.63,34,315.94,0
62,180.77,13,134.16,0
63,94.69,4,62.31,0
64,88.82,27,46.23,0
65,34.12,12,250.84,0
66,477.38,52,49.38,1
67,143.44,4,11.01,0
68,100.7,1,407.88,0
69,416.94,14,278.05,1
70,251.51,57,100.16,0
71,89.65,24,374.2,0
72,41.8,16,175.1,0
73,436.11,9,413.87,1
74,159.98,47,118.67,0
75,314.72,10,241.6,1
76,441.4,28,137.25,1
77,381.23,10,238.69,1
78,71.01,56,240.24,0
79,444.61,46,490.91,1
80,365.09,21,324.02,1
81,394.38,46,262.69,1
82,483.37,26,160.63,1
83,47.09,16,184.23,0
84,273.06,34,253.42,0
85,266.45,46,476.61,1
86,64.78,56,128.57,0
87,372.05,27,75.19,0
88,493.18,38,294.97,1
89,316.1,25,98.43,0
90,267.97,54,411.93,1
