project_id,project_name,start_date,end_date,budget,actual_cost,team_size,tasks_total,tasks_completed,risk_score,success
1,Project_1,2024-04-12,2024-09-01,981525,938187.96,8,108,94,8.53,0
2,Project_2,2024-12-14,2025-04-23,731772,672538.03,3,165,104,7.16,0
3,Project_3,2024-09-27,2025-02-16,199407,167500.67,7,59,55,5.89,0
4,Project_4,2024-04-16,2024-08-04,459395,377344.35,43,91,69,2.77,0
5,Project_5,2024-03-12,2024-10-14,959597,1135603.02,14,58,52,9.1,0
6,Project_6,2024-07-07,2024-11-26,472894,538558.76,28,123,121,0.45,0
7,Project_7,2024-01-21,2024-02-21,221810,208936.61,48,33,30,1.09,1
8,Project_8,2024-04-12,2024-09-18,967238,1143972.07,36,51,47,3.92,0
9,Project_9,2024-05-01,2025-01-05,737975,790155.71,16,198,139,1.24,0
10,Project_10,2024-08-02,2024-10-24,83523,82939.04,28,144,111,9.56,0
11,Project_11,2024-11-26,2025-08-06,770463,768313.61,47,185,115,7.98,0
12,Project_12,2024-03-28,2024-12-07,104476,87061.29,29,116,69,2.59,0
13,Project_13,2024-04-09,2024-09-11,243841,204017.29,11,42,31,5.89,0
14,Project_14,2024-12-25,2025-06-02,813451,846783.27,28,82,65,9.82,0
15,Project_15,2024-05-31,2024-08-21,880045,898949.44,49,162,108,8.84,0
16,Project_16,2024-05-10,2024-11-27,232866,206107.64,24,172,134,6.01,0
17,Project_17,2024-05-29,2025-01-31,96672,113925.81,49,164,154,9.04,0
18,Project_18,2024-11-04,2025-05-12,608135,676561.39,32,72,56,9.89,0
19,Project_19,2024-09-14,2025-04-29,354894,300022.36,45,123,105,7.43,0
20,Project_20,2024-12-09,2025-09-11,744994,873409.84,19,123,111,0.65,0
21,Project_21,2024-10-20,2025-10-08,38251,45507.19,28,198,196,4.02,0
22,Project_22,2024-07-10,2025-02-27,637769,764284.83,38,58,46,8.38,0
23,Project_23,2024-10-03,2025-05-04,384710,316365.68,3,198,178,2.31,1
24,Project_24,2024-06-09,2024-11-08,560233,613351.06,10,153,150,8.31,0
25,Project_25,2024-11-09,2025-08-20,887284,903580.13,37,86,83,1.2,0
26,Project_26,2024-01-22,2024-12-10,42217,45692.84,17,154,87,0.47,0
27,Project_27,2024-09-09,2025-07-15,18308,21740.03,49,198,139,3.84,0
28,Project_28,2024-08-23,2025-08-12,278093,299008.93,24,61,40,0.37,0
29,Project_29,2024-12-10,2025-04-16,193062,219083.97,16,34,18,9.57,0
30,Project_30,2024-02-18,2024-10-02,404366,463705.69,28,130,106,8.26,0
31,Project_31,2024-02-28,2024-11-23,754840,857039.53,30,176,152,8.01,0
32,Project_32,2024-06-18,2024-12-08,110235,106976.08,25,52,48,6.3,0
33,Project_33,2024-07-06,2024-11-09,84740,75336.45,16,174,97,2.16,0
34,Project_34,2024-09-27,2025-05-15,388496,372435.82,26,183,171,5.18,0
35,Project_35,2024-07-08,2024-12-08,863049,998339.49,4,176,144,5.97,0
36,Project_36,2024-06-23,2025-01-25,760201,652740.45,47,57,48,5.25,0
37,Project_37,2024-02-20,2025-02-09,813328,817663.42,28,116,110,2.6,0
38,Project_38,2024-12-29,2025-10-13,927230,828286.43,16,174,141,5.15,0
39,Project_39,2024-02-24,2024-08-19,187247,193336.68,9,52,34,4.91,0
40,Project_40,2024-08-31,2025-06-08,673165,770945.86,5,105,95,9.96,0
41,Project_41,2024-11-15,2025-05-10,539525,621610.48,49,85,57,8.97,0
42,Project_42,2024-05-10,2024-11-03,30056,26890.32,25,29,14,4.63,0
43,Project_43,2024-11-02,2025-06-18,186615,217047.7,48,24,21,6.23,0
44,Project_44,2024-05-14,2025-04-16,197628,204891.92,45,142,95,7.48,0
45,Project_45,2024-01-21,2024-06-26,648836,609962.48,49,93,82,0.35,1
46,Project_46,2024-11-24,2025-01-31,383632,415577.99,47,116,79,8.95,0
47,Project_47,2024-06-15,2024-11-20,144415,143355.98,20,137,127,8.6,0
48,Project_48,2024-09-30,2025-07-23,416716,396378.19,40,57,34,4.57,0
49,Project_49,2024-03-29,2024-09-25,456438,493881.32,37,160,157,3.91,0
50,Project_50,2024-11-11,2025-10-04,563663,507009.04,17,178,158,2.73,1
51,Project_51,2024-01-14,2024-05-21,675022,629188.69,27,66,36,4.77,0
52,Project_52,2024-08-29,2025-06-17,551252,536798.58,39,128,100,0.44,0
53,Project_53,2024-09-21,2025-06-29,647717,583899.3,30,199,197,8.52,0
54,Project_54,2024-12-11,2025-06-02,262764,252800.21,12,34,25,0.35,0
55,Project_55,2024-02-22,2024-07-12,724998,745725.12,41,176,104,3.29,0
56,Project_56,2024-12-05,2025-03-04,476882,522848.44,19,155,115,9.32,0
57,Project_57,2024-04-01,2024-05-02,750427,830631.09,41,24,18,7.35,0
58,Project_58,2024-09-20,2025-08-19,522153,589571.38,24,176,153,2.81,0
59,Project_59,2024-02-04,2024-11-13,77215,84757.72,28,66,56,2.53,0
60,Project_60,2024-07-24,2025-01-09,865474,928147.97,46,87,61,0.05,0
61,Project_61,2024-03-21,2024-05-26,154356,138149.02,27,95,57,6.96,0
62,Project_62,2024-02-19,2024-08-26,213861,205325.63,19,192,157,0.49,1
63,Project_63,2024-12-25,2025-02-01,365612,362352.92,15,149,105,5.33,0
64,Project_64,2024-01-02,2024-09-20,464605,387088.69,22,174,98,9.62,0
65,Project_65,2024-02-23,2024-06-30,19435,19655.55,27,114,108,1.09,0
66,Project_66,2024-04-15,2024-10-08,457556,445904.03,6,134,113,8.94,0
